PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2066.61454,0801128-19.2023.8.15.0391,019345_21_2025_8_15_SEI_019345_21.2025.8.15.zip,019345_21_2025_8_15_SEI_019345_21.2025.8.15.zip,TP
2005042413,0801376-32.2024.8.15.0461,019346_84_2025_8_15_SEI_019346_84.2025.8.15.zip,019346_84_2025_8_15_SEI_019346_84.2025.8.15.zip,TP
2066.61454,0801035-27.2021.8.15.0391,019348_16_2025_8_15_SEI_019348_16.2025.8.15.zip,019348_16_2025_8_15_SEI_019348_16.2025.8.15.zip,TP
2066.61454,0801034-42.2021.8.15.0391,019350_45_2025_8_15_SEI_019350_45.2025.8.15.zip,019350_45_2025_8_15_SEI_019350_45.2025.8.15.zip,TP
2000000114,0801660-26.2025.8.15.0131,019371_10_2025_8_15_SEI_019371_10.2025.8.15.zip,019371_10_2025_8_15_SEI_019371_10.2025.8.15.zip,TP
019390-43.2025.8.15,0805281-87.2025.8.15.0371,019390_43_2025_8_15_SEI_019390_43.2025.8.15.zip,019390_43_2025_8_15_SEI_019390_43.2025.8.15.zip,TP
019391-09.2025.8.15,0805181-35.2025.8.15.0371,019391_09_2025_8_15_SEI_019391_09.2025.8.15.zip,019391_09_2025_8_15_SEI_019391_09.2025.8.15.zip,TP
2008.169,0805161-44.2025.8.15.0371,019393_38_2025_8_15_SEI_019393_38.2025.8.15.zip,019393_38_2025_8_15_SEI_019393_38.2025.8.15.zip,TP
2095.2025,0805171-88.2025.8.15.0371,019394_04_2025_8_15_SEI_019394_04.2025.8.15.zip,019394_04_2025_8_15_SEI_019394_04.2025.8.15.zip,TP
2090855660,0800309-81.2018.8.15.0351,019406_81_2025_8_15_SEI_019406_81.2025.8.15.zip,019406_81_2025_8_15_SEI_019406_81.2025.8.15.zip,TP
2005042413,0801155-49.2024.8.15.0461,019409_76_2025_8_15_SEI_019409_76.2025.8.15.zip,019409_76_2025_8_15_SEI_019409_76.2025.8.15.zip,TP
2005042413,0000496-15.2020.8.15.0461,019412_71_2025_8_15_SEI_019412_71.2025.8.15.zip,019412_71_2025_8_15_SEI_019412_71.2025.8.15.zip,TP
019418-61.2025.8.15,0800581-54.2024.8.15.0581,019418_61_2025_8_15_SEI_019418_61.2025.8.15.zip,019418_61_2025_8_15_SEI_019418_61.2025.8.15.zip,TP
2005042413,0801308-53.2022.8.15.0461,019419_27_2025_8_15_SEI_019419_27.2025.8.15.zip,019419_27_2025_8_15_SEI_019419_27.2025.8.15.zip,TP
2005042413,0800488-97.2023.8.15.0461,019423_85_2025_8_15_SEI_019423_85.2025.8.15.zip,019423_85_2025_8_15_SEI_019423_85.2025.8.15.zip,TP
2040.2025,0800013-05.2024.8.15.0301,019434_02_2025_8_15_SEI_019434_02.2025.8.15.zip,019434_02_2025_8_15_SEI_019434_02.2025.8.15.zip,TP
2016.2025,0801129-93.2025.8.15.0371,019444_50_2025_8_15_SEI_019444_50.2025.8.15.zip,019444_50_2025_8_15_SEI_019444_50.2025.8.15.zip,TP
2066.61454,0800827-04.2025.8.15.0391,019450_40_2025_8_15_SEI_019450_40.2025.8.15.zip,019450_40_2025_8_15_SEI_019450_40.2025.8.15.zip,TP
2010011233,0807839-66.2024.8.15.0371,019454_98_2025_8_15_SEI_019454_98.2025.8.15.zip,019454_98_2025_8_15_SEI_019454_98.2025.8.15.zip,TP
2066.61454,0800796-81.2025.8.15.0391,019459_25_2025_8_15_SEI_019459_25.2025.8.15.zip,019459_25_2025_8_15_SEI_019459_25.2025.8.15.zip,TP
2000000116,0806259-98.2024.8.15.0371,019466_78_2025_8_15_SEI_019466_78.2025.8.15.zip,019466_78_2025_8_15_SEI_019466_78.2025.8.15.zip,TP
2020251015,0801390-11.2024.8.15.0301,019469_73_2025_8_15_SEI_019469_73.2025.8.15.zip,019469_73_2025_8_15_SEI_019469_73.2025.8.15.zip,TP
019471-05.2025.8.15,0804302-28.2025.8.15.0371,019471_05_2025_8_15_SEI_019471_05.2025.8.15.zip,019471_05_2025_8_15_SEI_019471_05.2025.8.15.zip,TP
2025115000,0802809-16.2025.8.15.0371,019472_68_2025_8_15_SEI_019472_68.2025.8.15.zip,019472_68_2025_8_15_SEI_019472_68.2025.8.15.zip,TP
019489-72.2025.8.15,0801811-43.2025.8.15.0211,019489_72_2025_8_15_SEI_019489_72.2025.8.15.zip,019489_72_2025_8_15_SEI_019489_72.2025.8.15.zip,TP
019492-67.2025.8.15,0801811-43.2025.8.15.0211,019492_67_2025_8_15_SEI_019492_67.2025.8.15.zip,019492_67_2025_8_15_SEI_019492_67.2025.8.15.zip,TP
019493-33.2025.8.15,0802123-19.2025.8.15.0211,019493_33_2025_8_15_SEI_019493_33.2025.8.15.zip,019493_33_2025_8_15_SEI_019493_33.2025.8.15.zip,TP
2004555510,0801364-55.2025.8.15.0211,019498_57_2025_8_15_SEI_019498_57.2025.8.15.zip,019498_57_2025_8_15_SEI_019498_57.2025.8.15.zip,TP
2004555510,0801364-55.2025.8.15.0211,019500_86_2025_8_15_SEI_019500_86.2025.8.15.zip,019500_86_2025_8_15_SEI_019500_86.2025.8.15.zip,TP
2035800265,0801747-95.2023.8.15.0601,019518_56_2025_8_15_SEI_019518_56.2025.8.15.zip,019518_56_2025_8_15_SEI_019518_56.2025.8.15.zip,TP
2010000010,0800659-22.2025.8.15.0061,019523_80_2025_8_15_SEI_019523_80.2025.8.15.zip,019523_80_2025_8_15_SEI_019523_80.2025.8.15.zip,TP
